id,lang,text,label
163,en,ah now i know why they lost that shitbag was in the building i do not even want to know if emgrund and the rest of the paid doomers were in attendance gee you could not have given your ticket to a low paid nurse could you have been a doctor,HOF
164,en,bloody hell,HOF
165,en,so it is done what the fuck then,HOF
166,en,the best motherfucker in the room,HOF
167,en,that moment of fucking when you have your finger stuck up your lovers pussy and you are lifting them off the bed by hitting their gspot and they just keep cumming is so much fun,HOF
168,en,the man who crowned bjp is stripping them naked now he reminds me of tyrion from got really sad to see him retire prashant kishor should resign pm modi would love to see you in bihar elections,HOF
169,en,no regional media or national media is showing this horrific inhuman incident why are we not talking about this why is there so much silence justice for saswati justice for saswati people of bengal are burning bengal violence is burning,NOT
170,en,worse than nazi gas chambers modiji must resign impose emergency covid 19 relief material pouring in at delhi airport but what next,NOT
171,en,sorry to hear you are already going through a tough time then some idiot makes it worse i am sure that is a word stay strong andrea,HOF
172,en,when i told him what you just said he smiled big mississippi pimp shit,HOF
173,en,lindsey graham is a complete idiot,HOF
174,en,lagos is filled with cars oh my god cars and keke and okada everything is zipping and honking and just creating a bloody cacophony there is a special place in hell especially for okada who use horns made for trucks i was there for bariga that year,NOT
175,en,made himself a complete cock equivalent to jedward and that wanker with the plastic shopping bag over his head,HOF
176,en,did you get old bastard 1 or young gun 1,HOF
177,en,bjp has failed the country modi has failed the country pm care fund is the biggest scam in history modis vaccine is a jumla modi must resign modi should resign or cancel modi has created a disaster modi government will not be able to do it,HOF
178,en,nonsense this will make you both sad and angry very insulting,HOF
179,en,morally bankrupt shameful boycott china disinformation india covid crisis boycott huawei boycott lenovo freetibet uyghur genocide,NOT
180,en,period bussy home down sissy murder cunt boots pow,HOF
181,en,those idiots who were supporting caa at least by now you should have understood that giving citizenship to outsiders when our own infrastructure is inadequate for indians is a huge mistake caa is done only for additional voter base nothing else caa exit modi indian oxygen india covid crisis,HOF
182,en,ji today you have not only lost the election you have lost lakhs of sincere followers like me you should be ashamed that you have disappointed us all for your petty politics and lust for power hope you will learn and shine listen to experts and be a good human being do not vote for modi,HOF
183,en,kangana made a terrible mistake by pointing out the mistakes of the supreme leader betrayal and exposing the cm of gujarat is not acceptable in bjp modi must resign,HOF
184,en,tucker carlson is a dangerous idiot dr sanjay gupta reveals the truth about the covid vaccine and tuckers lies,HOF
185,en,agricultural law is the next pandemic this is a complete failure of the indian government people are dying on the streets they cannot hide behind the system they are responsible for this they have no right to remain in office agricultural law is the next pandemic modis vaccine jumla,HOF
186,en,trust me if i like you i will text you hey six times then send you 4 dick pics before i get too impatient to make love to you it will be beautiful,HOF
187,en,i am sorry ron energy india covid crisis sending and healing,NOT
188,en,he was pretty quick to turn me on but i would have yelled at his stupid ass come on stupid head do that stupid shit with those stupid ass dances at your house or something you know keep it simple lol,HOF
189,en,false promises and outright lies you have failed indian politics no oxygen india needs oxygen india covid crisis gujarat government,HOF
190,en,history will always remember that modi ji turned the whole country into a crematorium to win one state he is only a minister of the bjp party not the prime minister of india so he should resign from his post in my country you are a murderer of many people pm modi resign,HOF
191,en,we need to say this to ethan winters too,NOT
192,en,i still do not believe ipl will resume after a weeks hiatus in the newly created bubble in mumbai looks like things have gone too far now it could be a case of shifting the second part to later in the year ipl 2021 ipl suspended india covid crisis,NOT
193,en,cancel 12th board exam 2021 pm modi resign hundreds of indian citizens are dying every day because of your overconfidence and ignorance and now you are ignoring lakhs of students appeal to cancel the exam every day,HOF
194,en,horrible scene law has failed in bengal bengal is being made like kashmir we have to be careful soon otherwise this can happen to anyone pathetic situation in bengal violence in bengal bengal is burning,NOT
195,en,how do citizens hold big corporations and governments accountable for abusing their powers in evil ways and yet they continue and get away with whatever they do where does this damn thing end cannot citizens do anything justice for sushant singh rajput chinese virus,NOT
196,en,i am not a troll,HOF
197,en,is this a good job or a crap job,HOF
198,en,it is very easy to get over negative emotions but when you have an excess of love and crap and no direction for these emotions what kind of negative effect does it have on you when you experience good emotions but also have no direction for them,NOT
199,en,modis vaccine slogan rahul gandhi has not taken the vaccine yet and is creating fear among people to refrain from getting vaccinated first be a responsible leader,HOF
200,en,just got my second shot i am fully vaccinated fuck covid covid 19 covid vaccine,NOT
201,en,what a disappointing experience of covid 19 vaccine when i saw the available stock is 50 only then i booked the slot when i reached the hospital there was no vaccine available covid vaccine,NOT
202,en,bastard you can tell him that,HOF
203,en,go get drunk you are sitting on a pile of dead bodies of innocent people who trusted you you are a shame for the country pm modi amit shah resign,HOF
204,en,dear world religion is like a penis it is ok to have it and be proud of it but please do not take it out in public and do not wave it around and please do not try to shove it down my throat i am really tired of hearing your religious bullshit islamophobic sickularis,HOF
205,en,you son of a bitch,HOF
206,en,notably though the list does not include jason millers whores publisher jason has been going through some stuff,HOF
207,en,5 poor pussies at the back 4 right backs and 4 center backs all bald going out in the round of 16,HOF
208,en,i have come to make an announcement shadow the hedgehog is a bitch ass motherfucker,HOF
209,en,why is johnson trying to make us all americans,HOF
210,en,that would be better chuuya said playfully he leaned his head against them once again and moved a little closer i hate to bloody my knuckles in some background the bastard is getting too emotional with my drunk,HOF
211,en,ok which bastard pqrted this,HOF
212,en,todays cowboys report a cb pffs jaylon smith cutting trade idea malik hooker situation explained watch,NOT
213,en,i have some colleagues who have family and friends who are sick and dying in india other offshore colleagues are sick themselves and praying that the international community does the right thing to help india yes indias covid crisis hurts everyone pray for india india covid crisis,NOT
214,en,i wish i was in a band again,NOT
215,en,you know the story of father son and donkey these liberal people are like those villagers in the story,HOF
216,en,modi resign modi go out modi resign pm modi modi has brought disaster i am ashamed of my prime minister my country and its jurisdiction indian democracy and its 4 pillars i am ashamed of myself struggling to breathe and making others struggle to breathe,HOF
217,en,ayno my head giver radar is usually on point if i think she might eat dick i am usually right,HOF
218,en,delhi is already struggling due to high pollution levels that is why most of the people are suffering seriously as their lungs are already damaged due to pollution modi is a disaster for india as he was for gujarat modi must resign,HOF
219,en,if i lose my loved one due to lack of medical beds and medicines whom should i blame myself or my family or the failed government second covid wave india covid crisis failure pmmodi killerpmmodi,NOT
220,en,a government that cannot defeat the pandemic manage vaccines oxygen foreign aid has no right to stay in power pm modi must resign so that more lives can be saved,HOF
221,en,i do not support what is happening in bengal but where are you all did not you hear india is screaming and crying where are you people are dying but you all are lying it is a big lie there is dictatorship in india please resign,HOF
222,en,you are ashamed not only at national level but also at international level pm modi should resign in the interest of the country,HOF
223,en,cancel 12th board exam 2021 pm modi resign hundreds of indian citizens are dying every day because of your overconfidence and ignorance and now you are ignoring lakhs of students appeal to cancel the exam every day,HOF
224,en,life is a bitch so i had to pimp it,HOF
225,en,why did not you scratch her man she was hitting me and pushing me with her bare hands i was not going to piss her off god knows what she would do,HOF
226,en,bts will never fuck you i am a gay,HOF
227,en,we should be ashamed to be indians 23000 crorepatis is no joke we cannot even treat our industrialists properly adar poonawala india covid crisis indians are dying modi is having fun,NOT
228,en,is not richard branson the same idiot who sued the nhs and now wants to say how crazy they run things,HOF
229,en,it is heartbreaking to see people gasping for breath and left to die i am praying for the people of india india covid crisis covid 19 india india covid crisis,NOT
230,en,i tweeted this last night and retweeted it this morning too because it is so extraordinary and devastating real time thread of an indian man trying to get oxygen for his loved one india covid crisis,NOT
231,en,come on twitter do your job make this greedy bum so embarrassed he will hate going to the game again chicago fans,HOF
232,en,it is exhausting and makes me very anxious indian covid horrors in ireland back home india covid crisis from ireland,NOT
233,en,this is an antiislam law it is against human rights islamophobia in france,NOT
234,en,the number of cases per day was same in us yet australians were allowed to come from us why this discrimination only for india if they travel to australia you will put them in jail for 5 years this is inhuman india covid crisis,NOT
235,en,is it common for djs and artists to not get paid at events that cost 200300 bucks a ticket because what the fuck,HOF
236,en,fuck that shit,HOF
237,en,extremely disturbing video god have mercy please second wave of covid in india modis vaccine jumla,NOT
238,en,is this your department focus on your portfolio and do your work it took you and your department a long time to announce the expansion when we retaliated have some shame modi resign prime minister modi resign prime minister modi resign,HOF
239,en,i am waiting for mann ki baat do not look at what happened i am afraid to see such a leadership in india in 2021 i am afraid that the citizens of india will forget the arrival of crores of rupees resign,NOT
240,en,is not it the bitch who is the granny,HOF
241,en,i think she knows him i want the son of a bitch to have a massive stroke but i also think he is very dangerous someone needs to tell us what he is up to keep your friends close keep your enemies closer,HOF
242,en,who is responsible for oxygen blind bhakt election meeting narendra modi modis vaccine jumla modi resignation agriculture law next pandemic suspend sharjeel usmni studentslivesmatters cancel 12th board exam 2021 covid emergency do you agree with me do you not agree with me,NOT
243,en,i am angry that i have lost so many friends colleagues and their loved ones in the last few weeks opinion on covid crisis in india,NOT
244,en,after crippling the world economy and killing millions of people with its own biological weapon chinese virus is shameless the chinese government is pretending to be growing its economy wuhan virus is shameless china,HOF
245,en,racist people are working for covid but this is racist fascist narrow minded attitude tejasvi is driving out minorities he is a total idiot yedyurappa has become powerless in karnataka he has become fascist bjp should resign modi should resign pm modi,HOF
246,en,this might piss off the homophobic people in my town but i do not care because it is pride month,HOF
247,en,endless flow of heartbreaking news what is delhi government still doing o2 issue persists cm should look into this source kick out modi make modi resign pm modi cancel 12th board exam 2021 give justice to shahabuddin adar poonawala lockdown 2021 election result,HOF
248,en,always look at stupidity as a challenge,HOF
249,en,modiji resign immediately hand over the indian army as soon as possible otherwise india will be destroyed due to the failure of the government,HOF
250,en,it is always a bitch that screams bloody murder,HOF
251,en,there are not enough characters on twitter to build better boris was it really broken earlier you both are useless the only way to build better is to look at fools like you resign modi resign johnson,HOF
252,en,who is responsible for oxygen blind bhakt election meeting narendra modi modis vaccine jumla modi resignation agriculture law next pandemic suspend sharjeel usmni studentslivesmatters cancel 12th board exam 2021 covid emergency do you agree with me do you not agree with me,NOT
253,en,people must understand that not only this chinese virus has ruined our lives but the national virus is hell bent on defaming our only hope that is china and its agents in india who should be blamed and not us jai hind,NOT
