id,lang,text,label
3857,hi,वरतमन परसथत म मझ लगत ह क हमर रषटरपत और हमर परधनमतर क तरह हर रषटरपत भ बगल जल रह ह,HOF
3858,hi,अमरक म लग दहर रजनत नह करत इसलए उनह मखट लगन क जररत नह पडत,HOF
3859,hi,कई लग न मद क वकसन नर पर भ गर कय,NOT
3860,hi,आज तक dalal madak,NOT
3861,hi,सवल यह नह ह क मझ वषय कन कहत ह सवल यह ह क मझ वषय कन बन सकत ह,HOF
3862,hi,जनवर हत हए भ हम बहत स कठनइय हत ह हम खद क दरद स कस बचन चहए य हम सभ क अपन हथ स यह सखन क जररत ह यह एक खबसरत नजर ह,NOT
3863,hi,मझ कस लगत ह क इस परणल क उपयग शव क वशष जल उपलबध करन क लए कय जन चहए शहबददन क नयय मल,NOT
3864,hi,इस समय एक रषटर एक चनव हन चहए थ शहबददन क नयय मल मद बगल म रषटरपत शसन नरदर मद गलबल पपप बगल जल रह ह डडआई ओ दद बगल चनव 2021 चनव परणम,NOT
3865,hi,रजसथन क गव म कवड टककरण महलओ पर टककरण क कय असर रपरट रजसथन कवडदसर लहर कवड वकसन,NOT
3866,hi,यह कई हरम नह बलक शकषक क नम पर धखधड स कम नह ह,HOF
3867,hi,इस तसवर क अपन दमग म रखए और इस तसवर क नषट करन क कररवई कजए शहबददन क नयय दलइए,NOT
3868,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
3869,hi,सद म एक बर मनहस जस हर हत ह मनहस मडम दश छड कर चल जएग अरम सर कम सभल रह ह दश म दव परसग आद क आयजन हग सब अपनअपन लए मर रह ह मद इसतफ द मनव इसतफ द पएम मद भरत क नगरक ह,HOF
3870,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
3871,hi,अगर वरध परदरशन स सबकछ ठक रह त रजय म बवल मचन क यह सलह भ पशचम बगल क जल रह आग न द ह,NOT
3872,hi,मनफक दसत स लख अचछ ह खल दशमन न शहबददन क नयय दलन क लए रजद क बहषकर कय,NOT
3873,hi,शहबददन क मरहम दलल जमत क लग जस ह इशअललह ऐस ह लग रजय म बवल मचन क कम करग शहबददन क इसफ मल,NOT
3874,hi,अगर अभ भ जमर बक ह और शहबददन स अभ भ महबबत ह त रजद क बहषकर कर और परट पद स इसतफ दन ह त भजप म शमल हन हग वरन शहबददन क लए इसफ क मग क अभयन बद कर रजद क बहषकर कर,HOF
3875,hi,ऐस त नह लगत क म मरन वल ह अब आप ह बतइए कय करण ह भगवन रम कहत ह क सनम चकरवरत महरज क दसर पतर रम ह रम ह मर यह अधकर ह क अगर बहत स लग समझ गए क मन क दरवज खल गय त रज क अधकर ह क जय करमश,HOF
3876,hi,मझ लगत ह क कस क बलक करन समदय म एक वध वकलप नह ह,NOT
3877,hi,शहबददन क मल नयय क हर कई यद रखग,NOT
3878,hi,रजधन पगल औरत ह जलद स जलद सभ मसलम वधयक और ससद शहबददन क नयय दलए,NOT
3879,hi,आज मर आख शरम स बद ह गई क जमन बचऊ य जमन बचऊ य जमन बचऊ बगल जल रह ह,NOT
3880,hi,मद क वकसन जमल मद इसतफ द भरत करन स लड रह ह पएमकयरस फड क हसब द पएम क परवह नह,NOT
3881,hi,इस नबर स कस भ तरह स कई रपलई नह आत ह जनवर म करट स बहत स लग मरत ह त अभ तक करट नह आय ह त दनय आपस बहत बड वद रख रह ह ज आप वडय म दख सकत ह,NOT
3882,hi,य डर क आवज ह य मन क खमश भरत कवड सकट ऑकसजन सकट,NOT
3883,hi,गध क गध क पढई पर हन क बद वह यह कम करत हआ घम रह ह,HOF
3884,hi,शश जल गय त घर म रख फर हक क लडई मद न दय इसतफ,NOT
3885,hi,शरममतबनरज रषटरपत ज बगल सभल ममत बनरज बगल जल रह ह,NOT
3886,hi,लल ज इतन बड हथकड क सथ अपन झठ बत क इतन बशरम स परदरशन करन क बदल म उनह इसस कम कछ नह मल हग,NOT
3887,hi,सर तर कतन रप,HOF
3888,hi,ऐस लग हर दसर घर म मल जत ह कई लग ऐस भ हत ह ज दसर पर बहत कठर हत ह लकन कछ ह पल म सब कछ भल जत ह ज इसन हत ह उसक सममन कई इमरत क बरबर भ नह हत ऐस इसलए हत ह कयक वह ऐस इसन नह हत ज अपन जत क इसतमल कर सक,HOF
3889,hi,आशचरय क बत ह क पलस इस अजञत नरसमद सरसवत क गरफतर नह कर सक आशचरय क बत ह क पलस पर ऐस कन स दबव थ क अभ तक इस नरसमद सरसवत क गरफतर नह कय ज सक दश क हर शहर स इस नरसमद सरसवत क खलफ शकयत आ रह ह लकन फर भ उस गरफतर नह कय ज सक,HOF
3890,hi,भड म जओ अपन पयर,NOT
3891,hi,शहबददन क सथ ज हआ वह आजम खन क सथ नह हन चहए इसलए हम सब शहबददन क लए नयय क आवज उठए,NOT
3892,hi,ऑपस ईवएम पर परतबध लगओ पशन बहल कर कसन आदलन कसन क लए बल नजकरण बद कर मद न बनय सकट एनपएस भरत छड एनपएस भरत छड एनपएस नजकरणभरत छड ऑपस करमचरय क वरध नजकरण क खलफ एनपएस दश म सवसथय बजट बढओ इसतफ द पएम मद वकसन और एमएसप द,NOT
3893,hi,मडम क अगलबगल बहत सर लग खड नजर आ रह ह इसलए भड म सब एक सथ बठ ह असहषणत जस शबद अब डकशनर स गयब ह चक ह बगल जल रह ह,NOT
3894,hi,इस दश म आतक तकत उसक घर पर हमल कर सकत ह दलल क तकत उसक घर पर हमल कर सकत ह लकन ममल क खतम करक भ समधन नह ल सकत ऐस सरकर गलत कम कर रह ह और शहबददन क लए नकमम सरकर क नयय द रह ह,HOF
3895,hi,भजप क पस बहत बड सरकर ह उसक पस 18 ससद और लगभग 80 वधयक ह फर भ उस परट क रषटरय अधयकष धरन पर ह ऑसकर वल यह कहत हए मर गए क नदद क परसकर नह द रह बगल जल रह ह,HOF
3896,hi,यह वयकत कस और क पत बनकर अपन करतवय नभ रह ह और सथ ह उस टवटर पर अपन रषटरय और अतररषटरय सममन पन स भ कई गरज नह ह रजपत समरट पथवरज चहन,HOF
3897,hi,बगल म ममत रड क सरकर ह सरकर क मखय उसक कठपतल बन गय ह असम क बजय ममत रड रजय म भजप क सरकर सभल रह ह इसक अलव कई रसत नह ह अनयथ हदओ क अपन सममन क ममल अपन आख क समन दखन पडग,HOF
3898,hi,jmdnews फलश 4 करन ऑकसजन कटनर भरत क मदद क लए जरमन स आए ऑकसजन ऑकसजन सकट जरमन भरत भरत कवड सकट भरत क ऑकसजन क जररत ह,NOT
3899,hi,लल ज क बत तभ सरथक ह जब उनक पछ शहबददन जस कनन ह शहबददन क नयय मल,NOT
3900,hi,शहबददन सहब क रय जहर क गई ह क यह शहबददन क लए कवड19 नयय थ,NOT
3901,hi,त टवट करन क अलव आप कछ और भ कर रह ह बगल हस बगल जल रह ह,HOF
3902,hi,म भ आपक तरह ह लइन मन 9812063026 बत दग और 9812063027 पर जकर आनद उठऊग कपय नबर बदल ल और तयर ह जए पबलक भड म जए,NOT
3903,hi,कनड म मसलम परवर क 4 बचच क हतय करन वल आतकवद नशचत रप स आतकवद ह अगर यह हतय मसलमन क लए क गई थ और मर गय परवर मसलमन थ त दनय क इसलमफबय आज भ इसलमक आतकवदय स डरत ह इसलमफबय आतकवद ह,HOF
3904,hi,रयगढ और मदवड भ हमर जलत बगल क पनह दत ह,NOT
3905,hi,म कस क हथ म अपन तलवर ढढ रह ह और मन कई कपड नह पहन ह शहबददन क नयय मल,NOT
3906,hi,य इस कषतर क cm ममत बनरज नह ह य त आतक क परतमरत ह इनक बगल म tmc परट क आतकवद बलतकर कर रह ह और भयकर बम वसफट कर रह ह tmcterror tmcgoons बगल जल रह ह बगल हस ममतईय क आतकवद गरफतर ममत शरम कर डयन ममत शरम कर आतकवद ममत बनरज,HOF
3907,hi,आजम खन सहब क इलज एमस म हन चहए शहबददन सहब क तरह व ससटम क नह छड सकत शहबददन क नयय मल,NOT
3908,hi,चक कम करन और गद चल चलन क तरक बहत खतरनक ह इसलए ऐस लग स लगतर सपरक बनए रखन क लए कई भ वयकत कस भ हद तक ज सकत ह,HOF
3909,hi,दश म 5g नटवरक नह आ रह ह सर सपरट जओ क मल रह ह इसलए चणकय क दलल अपन इटलयन बहन क मधयम स अफवह फल रह ह 5g स मचछर मर रह ह व नह मर रह टवटर क चमच क जवब दन चहए,HOF
3910,hi,बगल जलन पर उततर भरत क आम rss कडर परदरशन क बद कह रह ह क अगरज डर कर भग गए बगल म रषटरपत शसन,NOT
3911,hi,महरन कहग और पकड मझ और कतन धयन रखत ह महरन कहग म तमह कई बर पकड रह ह और तम वस ह लट रहग बल कय कहन ह,NOT
3912,hi,इस दनय म हदओ क रख जल रह ह और जवन क अरथ क अपमन ह रह ह यह सब रजनतक धरमक और गलत नतओ क चगल म ह भरत क ऑकसजन क जररत ह भरतय ऑकसजन भरतय जवन मयन रखत ह ऑकसजन ऑकसजन सलडर कगरस रहल गध इसतफ द मद मद क वकसन जमल,HOF
3913,hi,इस खल क लकपरयत क करण दश म इसक परचलन त चल ह रह ह लकन उस तरह दगल महजग खल म भ खलन लयक ह,HOF
3914,hi,तम त हशयर ह भई तमह कय कहन ह तमह त अपन कम ह करन ह इस टकस स 1010 बचच खलग और अगर ह त 0,HOF
3915,hi,ज लग चनव पर वरध करत ह व ऑकसजन कम ह और ज लग दय पर वरध करत ह इसम भ खतर ह व भ मर रह ह इनक बस रजनत करन ह लकन इनक शरम नह ह बगल जल रह ह बगल म रषटरपत शसन बगल म रषटरपत शसन,NOT
3916,hi,वसतव म यह दखकर आशचरय हत ह क वह वशलषक क तरह नह बलक दलल क तरह बत करत ह,HOF
3917,hi,चनव 2021 मद इसतफ द पएम मद इसतफ द मद मझ मरन स डर नह लगत मझ त हर वकत जनत स डर लगत ह,HOF
3918,hi,कवड लहर क असर बचच पर कय पडग करनवयरस कवड 19 कवड वकसन,NOT
3919,hi,टककरण अवशय करवए टककरण कवड वकसन 18 पलस टककरण सजफइटसकरन,NOT
3920,hi,अगर हम नकल कसन ह त आप हम इतन धयन कय द रह ह कसन क जत क लए पररथन कर,NOT
3921,hi,नयय क आवज क मजबत कर एक बर फर लख शहबददन क लए नयय,NOT
3922,hi,आप कतन वफदर ह मडम,NOT
3923,hi,ऑपस ईवएम पर परतबध लगओ पशन बहल कर कसन आदलन कसन क लए बल नजकरण बद कर मद न बनय सकट एनपएस भरत छड एनपएस भरत छड एनपएस नजकरणभरत छड ऑपस करमचरय क वरध नजकरण क खलफ एनपएस दश म सवसथय बजट बढओ इसतफ द पएम मद वकसन और एमएसप द,NOT
3924,hi,शहबददन सहब एकमतर ससद थ जनहन करगल म पकसतन क खलफ लडन क इजजत मग थ उस समय व बकर और सइकल क सवर म वयसत थ उनहन दश और दश क सममन क लए कई करबनय द ह हम शहबददन करगल क लए नयय चहत ह,NOT
3925,hi,लल बहदर शसतर ज क करय क घटन क जनकर द गई ह रजद क बयन सफ ह दलल क मदद क बवजद तजसव यदव असपतल नह पहच पए समय नह आएग इमरन भई अमनतललह खन आपक सलम ओसम सहब क सथ खड ह जओ शहबददन क नयय दलओ,HOF
3926,hi,ऐस लग रह ह क म बगल म मर रह ह और यह सब एयर कडशन हल क अदर ह रह ह यह बहत खतरनक ह हम उन पर भरस कय कर बगल चनव 2021 बगल जल रह ह,HOF
3927,hi,5 बदद दन म कस भ तरह क दलल नह हन चहए य सरफ शरम क करण फरजवड ह जस सरदर क बड भई क शव गव म भज गय शहबद क बड भई क गव म दफनय गय उसक शव नह भज गय ओसम शहब क सथ द शहबददन क नयय मल,NOT
3928,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
3929,hi,यह सदध ह गय ह क भवषय क सतन हद ह और हम हद पर गरव ह,HOF
3930,hi,यह वडय वहटसएप पर मल थ लकन सन नह ज सक वडय दखकर दल दहल गय सडक क एक कन पर बठबठ एक टरकटर टरल न मझ इस तरह कचल दय,HOF
3931,hi,सतरम यचर पएम मद स पछड रह ह लकन नई ससद क गठन हन चहए मद मद न आपद क बनय इसतफ पएम मद इसतफ मद करनवयरस करन कवड वकसन कवडसकड वव बजप,NOT
3932,hi,दलल करमचरय क मजक उडय ज रह ह जबक बजल करमचर अपन सवए द रह ह पलस क दबव म गलत तरक स झठ एफआईआर दरज क गई ह इस तरत वपस लय जन चहए और सबधत वयकत क खलफ कररवई क जन चहए,NOT
3933,hi,जतन क समधन सह ह अगर सबक हत परभवत हत ह त बगल जलन वल रषटरपत बगल पर रज कर भजप करयकरतओ क बचए बगल क टएमस स बचए,NOT
3934,hi,जवन क रथ म कई चरण ह खद पर कई आरप ह हलत क तकत दखत ह उमर छट ह और कई इमतहन ह मद भरत क खलफ अपरध इसतफ द pmmodi रढवहन भजप करनवयरस बधवर वचर ऑकसजन 4 सभ मनव बन ऑकसजन मन fakenews,NOT
3935,hi,य झठ ह य मडम क दश ह लकन बप क कई गरट नह मद क वकसन नर,HOF
3936,hi,न कल खश थ न आज खश ह शहबददन क नयय मल,NOT
3937,hi,इन दन टवटर पर रग बलल क खलफ लखन क गसस ह रज क 510 फलअरस कम ह रह ह मद क वकसन नर मद भरत क लए आपद मद क इसतफ दन चहए,NOT
3938,hi,व कहत ह क हम मर रह ह त मरद जस बत नह करन लगन चहए सहब मरद स त हम बचन ह ह लकन आप लग भ मरद ह समझ कर हम छड दत ह सहब हम त जमल बलन क आदत ह इन लग क लए हमर घर म भ जगह नह ह भरत कवड सकट,NOT
3939,hi,म गलत ह मझ लग क वषयवसत गलत थ,HOF
3940,hi,करर ममत ऐस लग रह ह जस नरक बन रह ह आप कमजर ह रह ह और बचच पर करर ह रह ह आप नषट ह जएग बगल हस बगल जल रह ह,HOF
3941,hi,25ससद लपत ह मद न आपद बन द मद क वकसन जमल मद क इसतफ दन चहए भजप न भरत क नषट कर दय भजप एमप एमएललपत,NOT
3942,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
3943,hi,सन ह यह मदरन डक बस न टवटर पर कह ह चन वयरस कवड 19 भरत,NOT
3944,hi,कड लडई लड और शहबददन क नयय दलओ,NOT
3945,hi,य वरध परदरशन दखकर मझ गसस भ आत ह और इन लग क लए दल भ दखत ह इनहन अपन कम कर दय ह य लग आध वरध आध नफरत और आध गसस करक अब मजकय बन गए ह बगल जल रह ह,NOT
3946,hi,बगल क कतल आरएसएस आरएसएसआतकवद आरएसएस आतकवद आरएसएस चन एस लड आरएसएस दश क दशमन क डशमन इसलमफबयइनइडय इसलमफबय बजप बजप 4 इडय नरदर मद,NOT
3947,hi,धवन क म क नधन,HOF
3948,hi,जदवपर स बजप उममदवर रकश टकत क घर पर हमल tmcterror बगल म आगजन,HOF
3949,hi,गव म रहन वल वयकत सकरतमक करय कर रह ह हरयणव सहब क शहदत इस गव म दफन ह आखर शहबददन ओसम शहब क लए कय इसफ ह ओसम शहब क सथ खड ह जओ ओसम शहब,NOT
3950,hi,कय हरमजद कह ह,HOF
3951,hi,अब अगर कई मसलम मनयतओ म मर रग गयब भ ह त व मसलम मनयत नह ह,NOT
3952,hi,शहबद क नयय सरवचच करट नयय शहबददन क लए नयय शहबददन क लए नयय शहबददन क लए,NOT
3953,hi,303 ससद आपक इसलए दए गए ह क आप घर पर रह और अपन कम कर भजप बगल जलन बगल हस,NOT
3954,hi,2024 म जब मटग क बद बहत सर गतवधय हग तब तमस बहत कछ समझन चहग लकन समझ नह पएग रढवहन भजप बगल हस बगल जलन,NOT
3955,hi,चनव म लख क भड और वरध परदरशन vvip क आज जररत ह ऑकसजन लग क सवसथय क परत उगर ह भजप परट दग ऑकसजन क कम करन बगल हस टएमसगस भजप आप इसतफ द मद भरत करन स लडत ह,HOF
3956,hi,य ह हमर परतयश क दरद तललबज गढ बगल म रषटरपत शसन जल रह बगल,HOF
3957,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
3958,hi,जतपत क कमर म मत फस बहर आओ और हद धरम क भड बनकर लग क मज दख जय शरम,NOT
3959,hi,दश क गददर हरम दगल क करतत,HOF
3960,hi,अगर आप इस bsdk क ह दखत ह त कय आपक इस bsdk म ह ईधन भरन वल जहज ल जन चहए त कय आपक इसक चहर दखकर कई बत समझ म नह आएग,HOF
3961,hi,सद म एक बर मनहस मद दश स हटग आरम सहब कम सभल रह ह डप ऑकसजन आद रजनत स ह मलग सब अपनअपन यगयत स मर रह ह मद मनव इसतफ द पएम मद इसतफ द भरत क नगरक ह,NOT
3962,hi,bsdk क पजत रह बगलदश क आवज दख जस तरह स सड क आख पर वर कय ज रह ह वह कम ह रह ह वकस चलत रह और पप न रजसथन म 11 लख रपए बरबद कए ह उस पर भ कछ जर ह,HOF
3963,hi,लकन दश क आजद म सघ क कई हथ ह आज दश क आजद क लए परयस करन वल लग सघ क छडन लग ह और हद मसलम और ईसई सभ महतवपरण हथ ह जस सघ बरबडस क लग क पर पर मजबत स खड ह,HOF
3964,hi,आज मझ एक भ रजद क आदम हमर सथ खड नह दख रह पहल हमर लडई rssbjp स थ अब रजद भ शहबददन क लए नयय क लए खड ह,NOT
3965,hi,म जनन चहत ह क गव म चनव कय चल रह ह म लग क गलतय दखन चहत ह अब मझ टएमस क गग क आगजन और बलतकर नह दख रह बगल जलन वल सकयलर कतत,HOF
3966,hi,मदन न दश क दव पर लग रख ह अगर हम कछ नह कर सकत त हम भ नह करन चहए इसतफ द मद इसतफ द हरषवरधन मद न आफत बन द मद ऑकसजन कर,HOF
3967,hi,हर ओम सनतन भई बहन क पणय कस क हन स नह बलक कस क मदद स हत ह जय शरम,NOT
3968,hi,कय कह रह ह कतन ससत ह कह सकत ह क कतन ससत ह मलनचरय,HOF
3969,hi,बजप धरन मत कर कम स कम शरम त नह आएग रढवहन मद बगल जल रह ह,HOF
3970,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
3971,hi,मत बल दश क लए कछ कर परदरशन स टव पर कछ नह दख रह एक तरफ हट जओ महल पर रकषस क वडय डल थ उनक सथ खड नह ह टवटर टव पर भ सभल लग शरम आत ह तमह खद पर व कम तम कर रह ह टव पर कर रह ह बगल जल रह ह,NOT
3972,hi,आप भतज क बट ह,HOF
3973,hi,हतय क ममल म हतय क आनवशक क शमल कय गय ह शहर बगलय स घर हआ ह बगल हस बगल दग बगल जल रह ह,NOT
3974,hi,सरकर करर ह रह ह मद क इसतफ द दन चहए,NOT
3975,hi,पगल पपप ह और रषटरय नह वह गलबल ह नरदर मद गलबल पपप मद इसतफ द भरत कवड सकट मद क इसतफ दन चहए,HOF
3976,hi,सवल य ह क जब शहबददन सहब क सथ ऐस घटन हई और उसमन सहब अपन पत क लए हर जगह लड रह थ उस समय लल परवर क कई लग उनक सथ खड नह हए justiceforshahabuddin,NOT
3977,hi,आप शत रह रह ह म समझत ह,NOT
3978,hi,शकरय इमरन परतप गढ सहब शकरय अमतललह सहब इस दख क घड म बहत स व लग भ दलल म ओसम भई क सथ खड थ हम इस बत क यद रखग शहबददन क इसफ मल,NOT
3979,hi,पहल लगत थ क बजप रढवहन ह लकन अब लगत ह क सरफ बजप ह रढवहन ह बगल चनव 2021 बगल हस बगल जल रह ह तजसव सरय,NOT
3980,hi,हर जत कह रह ह क बगल दश क लए आदलन करक सहब क जन बचई शहबददन क नयय मल,NOT
3981,hi,आप परदश अधयकष ह इसलए य सब सभव ह अपन आप क बच लजए 4 सल स आप सरकर क चद पर बठ ह आपक नम म बहत तकत ह आपक य कहत हए कई शरम नह ह आपक mla क टकट नह मल आपन मर 2 सल बच लए,NOT
3982,hi,एकटरस क अपन कम बद करक आईपएल खलन चहए और आम लग क घर पर बठकर यह करन चहए मद इसतफ द कसन आदलन कष कनन कवड स भ बदतर,NOT
3983,hi,सवल यह नह ह क वह मझ अपन वषय कहत ह य नह सवल यह ह क मझ कन अपन वषय बन सकत ह,NOT
3984,hi,अजत सह क लए ज आपन सदह वयकत कय ह वह बलकल सह ह लकन बगल म भजप म कम करन वल लग दग कर रह ह उस पर आपक कछ नह कहन चहए कपय उन लग क उममद क छपन क परयस कर बगल जल रह ह,NOT
3985,hi,मन तमस कह थ क शरब पर भ हमर अधकर ह और हम शर स भ लड सकत ह,HOF
3986,hi,अब चटकरत कगरस य कस अनय परट स जयद भजप म ह,HOF
3987,hi,सर लगत ह आपक मशन म जनसखय नयतरण कनन भ चल रह ह ऐस लग तडप तडप कर मर रह ह उनक घर उजड रह ह spinlessmodi spinless bjp मद हटओ दश बचओ मद इसतफ द बगल चनव 2021 covid india,NOT
3988,hi,मझ भ कल ऐस ह महसस हआ क मर 50 सल क पत ज कई असपतल म भरत रह सरकर क पस इलज क लए कछ नह ह मन सब उनक भरस छड दय ह पएम मद इसतफ द,NOT
3989,hi,वयरस क लए कभ कई चन क बत नह कर रह दश म वयरस फलन क लए वकसन बनन वल कपनय क नशन बनन वल कपनय क कई अत नह ह सबक दखन चहए क य कपनय चन क एजट ह चन वयरस ह चन गध ह,HOF
3990,hi,जगल म सभ जनवर क मफत म पकड गय सभ जनवर तयहर क लकर उतसहत ह गए और घर चल गए अगल दन सभ जनवर पकड गए और आध जनवर जगल म मफत म पकड गए वकस,NOT
3991,hi,अनवरश एफआईआर सरकर क बहतर और सहस नत ह वह आदरश सरकर अपरध और भय क समरथन कर रह ह वह रत क अवध खनन क रकन और ममल क बर म जनत क जगरक करन क लए जनत क मदद स वशष अभयन चल रह ह वह भगवन क आड म जमन क अपरध क चल रह ह,HOF
3992,hi,मद ज इसतफ द भजप तरत कलब म वपस जओ,NOT
3993,hi,शकरय सहब शहबददन क नयय द,NOT
3994,hi,पल पल क मन ह क म उनक मजदग म चनव परचर दख अब मझ लग क सममन नह दख रह जस लपट अगकर और महल म रषटरपत शसन बगल बगल जल रह ह बगल हस खन खल पशचम बगल हस,NOT
3995,hi,पलयन नह परतकर क झड बलद कर अब बगल जलन क डर नह रहग,NOT
3996,hi,बगल क हलत दखकर आमर खन जवद अखतर नसरददन शह आद क अब भरत म डर नह लगत कयक य मरन वल शर नह ह आमर खन नसरददनशह बगल जल रह ह,NOT
3997,hi,सरज क पछ छड य सरकर क शरम ह य सरकर क सबस बड चत ह बगल जल रह ह,NOT
3998,hi,लकन इस भकत गत क एजड म डलन क कशश मत कर मद इसतफ द मद क वकसन क नर अनगनत हतयओ क नम पर आज य मदद करन जएग य मदद करन जएग य मदद करन जएग य मदद करन जएग य मदद करन जएग य मदद करन जएग य मदद करन जएग य मदद करन जएग नशचत रप स अगर जनत म शकत नह ह,NOT
3999,hi,हम कस भरम म नह रहन चहए अगर य सरकर सखत कररवई कर रह ह त कसन क नकसन पहचन क कई जररत नह ह कयक पहल लसट म 1 स 10 आइटम ह और पहल लसट tmcterror bengal burning खतम ह चक ह,NOT
4000,hi,वह एक म और मसलमन ह,HOF
4001,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
4002,hi,इस जमत म कवड19 ह य बर ह य वजह ह रमडसवर नरदर मद करन वकसन करन सकड वव रमडसवर बलक मरकटग रमडसवर रमडसवरइजकशन मद क वकसन नर एमस कन भरषटचर रजनत कलबजर कवड 19,NOT
4003,hi,गध सबस महनत जनवर ह बहत स लग इसक लए सघरष नह करत लकन फर भ बहत स लग इसक कदर नह करत,NOT
4004,hi,उस ससटम क हतय कर द गई सर चज नषट कर द गई और कई हतय नह हई शहबददन क नयय मल,NOT
4005,hi,गरडपरण म अधभकत क सज गरडपरण मद क वकसन नर,NOT
4006,hi,लडक क चत कचड म फस रह ह रमलल जल बगपत उततर परदश अगर लडक कम न कर त पहल जस नह रहत,HOF
4007,hi,अर बजप टवटर पर उनक सथ खड ह बहत बड बत ह अगर आपक कम ह गय त वह भ आतमनरभर क कम करग आप सब अमत शह नदस जग बगल जल रह ह,HOF
4008,hi,मडम आप सथ ह मद इसतफ द पएम मद इसतफ द मद हटओ और दश बचओ,NOT
4009,hi,एक बर फर य बत भ सच ह क चनव म 5g टवर क टसटग बढ रह ह मद सरकर ह ससटम ह मद क वकसन जमल रजगर क नतज पटरल डजल क दम म बढतर बरजगर भरत करन बजप एमप एमएलए गयब बजपफल इडय,NOT
4010,hi,शहबददन क सथ ज हआ व आजम खन क सथ न ह इसलए हम सब शहबददन क लए नयय क आवज उठए,NOT
4011,hi,पशचम बगल म कई भ भजप नत ज पडत परवर क लए करउड फडग क वयवसथ कर सकत ह उसन दलल म इसक वयवसथ क ह,NOT
4012,hi,म बहत बड आदम ह सहब मझनवटखड क नच बहत भड ह और म बहत भड क सथ आदम क तरह चल रह ह मझ बहत मज आ रह ह,NOT
4013,hi,मद क वकसन नर ऐस ह क कल तक हम कह रह थ क हम वकसन नह लगवएग और आज हमस कह ज रह ह क पहल लगवओ जस तरह स पतर लख गय ह वह हमर पस भ ह,HOF
4014,hi,खश रहन ह त नरम खओ और बर बन,NOT
4015,hi,शरदध अगसत परट म आई,HOF
4016,hi,इस बर करयकरतओ क करतवय न बदल रख वधयक ज आग बढकर लड चनव तभ परधन ज नरज वपकष परट न दय इसतफ पएम मद डमडटइजशन आजतक गद मडय,HOF
